anchor-integrity	13	0	2	0
autonomous-iteration-loop	8	6	0	0
canary-audit	15	0	0	0
check-n-recomputable	12	1	1	0
check-u-overgeneralization	9	0	3	0
check-y-symbol-existence	8	5	3	0
convergence-evidence-gate	14	5	0	0
delguard	15	0	0	0
design-loop	11	3	0	0
drift-history	14	0	1	0
heterogeneous-finder-ensemble	14	1	0	0
known-pitfall-refresh-token	5	1	2	4
loop-convergence-recording	10	3	0	0
lumos-cli-lifecycle	15	3	0	0
lumos-cli-write	12	3	0	0
pitfalls-code-loop	10	5	0	0
retrieval-ranking	17	3	0	0
reversibility-governance-ledger	12	3	0	0
slim-gen-生成器	11	3	0	0
slim-get-一行安裝	15	0	0	0
slim-install-安裝器	10	3	0	0
slim-readme	7	8	0	0
slim-scan-掃描器	8	6	0	0
slim-skill-修剪	11	3	0	0
slim-uninstall-一行卸載	12	2	0	0
test-profile-multiplatform	13	1	0	0
效能檢核目錄	10	1	1	1
測試假綠形態	12	1	2	3
診斷迴圈先行	4	0	5	5
開發工作流總覽	11	0	1	3
